사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022072500100277,2022년 7월 25일 13시,월요일,경기도 수원시 권선구 세류동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,26세,상해없음,이륜,남,38세,경상
2022072500100337,2022년 7월 25일 15시,월요일,경기도 수원시 영통구 매탄동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,29세,상해없음,이륜,남,50세,경상
2022072500100370,2022년 7월 25일 16시,월요일,경기도 수원시 팔달구 우만동,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,교차로 - 교차로안,승합,남,65세,기타불명,승용,남,64세,경상
2022072500100377,2022년 7월 25일 16시,월요일,경기도 수원시 영통구 원천동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,남,55세,경상
2022072600100063,2022년 7월 26일 07시,화요일,경기도 수원시 권선구 세류동,부상신고사고,0,0,0,1,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,28세,상해없음,자전거,남,68세,부상신고
2022072600100313,2022년 7월 26일 14시,화요일,경기도 용인시 기흥구 영덕동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,건설기계,남,58세,상해없음,승용,여,52세,경상
2022072600100315,2022년 7월 26일 14시,화요일,경기도 수원시 영통구 영통동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,30세,상해없음,승용,여,57세,경상
2022072600100318,2022년 7월 26일 14시,화요일,경기도 용인시 수지구 상현동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,40세,상해없음,승용,남,55세,경상
2022072600100360,2022년 7월 26일 15시,화요일,경기도 수원시 영통구 망포동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승합,남,65세,상해없음,보행자,여,25세,경상
2022072600100439,2022년 7월 26일 17시,화요일,경기도 수원시 영통구 원천동,경상사고,0,0,4,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,승용,남,38세,상해없음,승합,남,57세,경상
